player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
bateske01,Keita Bates-Diop,"Small Forward, Power Forward",Right,6-8,229,23,January,1996,Ohio State,2018 NBA Draft,Minnesota Timberwolves,"2nd round (18th pick, 48th overall)",6.0,"October 26, 2018"
battish01,Shane Battier,"Small Forward, Shooting Guard",Right,6-8,220,9,September,1978,Duke,2001 NBA Draft,Memphis Grizzlies,"1st round (6th pick, 6th overall)",,"November 1, 2001"
battlja01,Jamison Battle,Small Forward,Left,6-7,220,10,May,2001,George Washington,,,,2.0,"October 23, 2024"
batumni01,Nicolas Batum,"Small Forward, Power Forward, Shooting Guard",Right,6-7,230,14,December,1988,,2008 NBA Draft,Houston Rockets,"1st round (25th pick, 25th overall)",18.0,"October 28, 2008"
baughda01,Damion Baugh,Shooting Guard,Right,6-4,194,3,August,2000,Memphis,,,,1.0,"February 12, 2025"
bayleje01,Jerryd Bayless,"Point Guard, Shooting Guard",Right,6-3,200,20,August,1988,Arizona,2008 NBA Draft,Indiana Pacers,"1st round (11th pick, 11th overall)",,"October 28, 2008"
bayloel01,Elgin Baylor,Small Forward,Right,6-5,225,16,September,1934,College of Idaho,1958 NBA Draft,Minneapolis Lakers,"14th round (2nd pick, 91st overall), , and , 1st round (1st pick, 1st overall)",,"October 22, 1958"
baynear01,Aron Baynes,Center,Right,6-10,260,9,December,1986,Washington State,,,,,"January 25, 2013"
bazemke01,Kent Bazemore,"Shooting Guard, Small Forward",Left,6-4,195,1,July,1989,Old Dominion,,,,,"November 9, 2012"
bazleda01,Darius Bazley,"Power Forward, Center",Left,6-9,216,12,June,2000,,2019 NBA Draft,Utah Jazz,"1st round (23rd pick, 23rd overall)",,"October 23, 2019"
bealbr01,Bradley Beal,Shooting Guard,Right,6-4,207,28,June,1993,Florida,2012 NBA Draft,Washington Wizards,"1st round (3rd pick, 3rd overall)",14.0,"October 30, 2012"
beardbu01,Butch Beard,Point Guard,Right,6-3,185,4,May,1947,Louisville,1969 NBA Draft,Atlanta Hawks,"1st round (10th pick, 10th overall)",,"October 15, 1969"
beaslma01,Malik Beasley,Shooting Guard,Right,6-4,187,26,November,1996,Florida State,2016 NBA Draft,Denver Nuggets,"1st round (19th pick, 19th overall)",,"November 5, 2016"
